Rank,Priority,prop_screened,prop_found
458,Medium,0.5319396051103368,0.7931034482758621
459,Medium,0.5331010452961672,0.7931034482758621
460,Medium,0.5342624854819977,0.7931034482758621
461,Medium,0.5354239256678281,0.7931034482758621
462,Medium,0.5365853658536586,0.7931034482758621
463,Medium,0.537746806039489,0.7931034482758621
464,Medium,0.5389082462253194,0.7931034482758621
465,Medium,0.5400696864111498,0.7931034482758621
466,Medium,0.5412311265969802,0.7931034482758621
467,Medium,0.5423925667828107,0.7931034482758621
468,Medium,0.5435540069686411,0.7969348659003831
469,Medium,0.5447154471544715,0.7969348659003831
470,Medium,0.5458768873403019,0.8007662835249042
471,Medium,0.5470383275261324,0.8007662835249042
472,Medium,0.5481997677119629,0.8007662835249042
473,Medium,0.5493612078977933,0.8007662835249042
474,Medium,0.5505226480836237,0.8007662835249042
475,Medium,0.5516840882694541,0.8007662835249042
476,Medium,0.5528455284552846,0.8007662835249042
477,Medium,0.554006968641115,0.8007662835249042
478,Medium,0.5551684088269454,0.8045977011494253
479,Medium,0.5563298490127758,0.8045977011494253
480,Medium,0.5574912891986062,0.8045977011494253
481,Medium,0.5586527293844367,0.8045977011494253
482,Medium,0.5598141695702671,0.8045977011494253
483,Medium,0.5609756097560976,0.8084291187739464
484,Medium,0.562137049941928,0.8084291187739464
485,Medium,0.5632984901277585,0.8122605363984674
486,Medium,0.5644599303135889,0.8160919540229885
487,Medium,0.5656213704994193,0.8160919540229885
488,Medium,0.5667828106852497,0.8160919540229885
489,Medium,0.5679442508710801,0.8160919540229885
490,Medium,0.5691056910569106,0.8199233716475096
491,Medium,0.570267131242741,0.8199233716475096
492,Medium,0.5714285714285714,0.8199233716475096
493,Medium,0.5725900116144018,0.8199233716475096
494,Medium,0.5737514518002322,0.8199233716475096
495,Medium,0.5749128919860628,0.8199233716475096
496,Medium,0.5760743321718932,0.8199233716475096
497,Medium,0.5772357723577236,0.8199233716475096
498,Medium,0.578397212543554,0.8199233716475096
499,Medium,0.5795586527293844,0.8199233716475096
500,Medium,0.5807200929152149,0.8199233716475096
501,Medium,0.5818815331010453,0.8237547892720306
502,Medium,0.5830429732868757,0.8237547892720306
503,Medium,0.5842044134727061,0.8237547892720306
504,Medium,0.5853658536585366,0.8237547892720306
505,Medium,0.586527293844367,0.8237547892720306
506,Medium,0.5876887340301974,0.8237547892720306
507,Medium,0.5888501742160279,0.8237547892720306
508,Medium,0.5900116144018583,0.8275862068965517
509,Medium,0.5911730545876888,0.8314176245210728
510,Medium,0.5923344947735192,0.8314176245210728
511,Medium,0.5934959349593496,0.8352490421455939
512,Medium,0.59465737514518,0.8352490421455939
513,Medium,0.5958188153310104,0.8390804597701149
514,Medium,0.5969802555168409,0.8390804597701149
515,Medium,0.5981416957026713,0.8390804597701149
516,Medium,0.5993031358885017,0.8390804597701149
517,Medium,0.6004645760743321,0.8390804597701149
518,Medium,0.6016260162601627,0.8390804597701149
519,Medium,0.6027874564459931,0.8390804597701149
520,Medium,0.6039488966318235,0.8390804597701149
521,Medium,0.6051103368176539,0.842911877394636
522,Medium,0.6062717770034843,0.842911877394636
523,Medium,0.6074332171893148,0.842911877394636
524,Medium,0.6085946573751452,0.842911877394636
525,Medium,0.6097560975609756,0.8467432950191571
