Name_2018b,Name_2019,Notes
Human betaherpesvirus 5,Human betaherpesvirus 5,
Human betaherpesvirus 7,Human betaherpesvirus 7,
Human coronavirus 229E,Human coronavirus 229E,
Human coronavirus HKU1,Human coronavirus HKU1,
Human coronavirus NL63,Human coronavirus NL63,
Human gammaherpesvirus 4,Human gammaherpesvirus 4,
Human gammaherpesvirus 8,Human gammaherpesvirus 8,
Human immunodeficiency virus 1,Human immunodeficiency virus 1,
Human immunodeficiency virus 2,Human immunodeficiency virus 2,
Human mastadenovirus A,Human mastadenovirus A,
Human mastadenovirus B,Human mastadenovirus B,
Human mastadenovirus C,Human mastadenovirus C,
Human mastadenovirus D,Human mastadenovirus D,
Human mastadenovirus E,Human mastadenovirus E,
Human mastadenovirus F,Human mastadenovirus F,
Human metapneumovirus,Human metapneumovirus,
Human orthopneumovirus,Human orthopneumovirus,
Human picobirnavirus,Human picobirnavirus,
Human polyomavirus 1,Human polyomavirus 1,
Human polyomavirus 2,Human polyomavirus 2,
Human respirovirus 1,Human respirovirus 1,
Human respirovirus 3,Human respirovirus 3,
Human orthorubulavirus 2,Human orthorubulavirus 2,
Human orthorubulavirus 4,Human orthorubulavirus 4,
Ikoma lyssavirus,Ikoma lyssavirus,
Ilheus virus,Ilheus virus,
Indiana vesiculovirus,Indiana vesiculovirus,
Influenza A virus,Influenza A virus,
Influenza B virus,Influenza B virus,
Influenza C virus,Influenza C virus,
Iotapapillomavirus 1,Iotapapillomavirus 1,
Ippy mammarenavirus,Ippy mammarenavirus,
Irkut lyssavirus,Irkut lyssavirus,
Isfahan vesiculovirus,Isfahan vesiculovirus,
Jaagsiekte sheep retrovirus,Jaagsiekte sheep retrovirus,
